MATCH_ID,P1NAME,P1RANK,P1CHAMPION,P1CHAMPIONID,P1SPELL1,P1SPELL2,P1SUMMONERLEVEL,P2NAME,P2RANK,P2CHAMPION,P2CHAMPIONID,P2SPELL1,P2SPELL2,P2SUMMONERLEVEL,P3NAME,P3RANK,P3CHAMPION,P3CHAMPIONID,P3SPELL1,P3SPELL2,P3SUMMONERLEVEL,P4NAME,P4RANK,P4CHAMPION,P4CHAMPIONID,P4SPELL1,P4SPELL2,P4SUMMONERLEVEL,P5NAME,P5RANK,P5CHAMPION,P5CHAMPIONID,P5SPELL1,P5SPELL2,P5SUMMONERLEVEL,P6NAME,P6RANK,P6CHAMPION,P6CHAMPIONID,P6SPELL1,P6SPELL2,P6SUMMONERLEVEL,P7NAME,P7RANK,P7CHAMPION,P7CHAMPIONID,P7SPELL1,P7SPELL2,P7SUMMONERLEVEL,P8NAME,P8RANK,P8CHAMPION,P8CHAMPIONID,P8SPELL1,P8SPELL2,P8SUMMONERLEVEL,P9NAME,P9RANK,P9CHAMPION,P9CHAMPIONID,P9SPELL1,P9SPELL2,P9SUMMONERLEVEL,P10NAME,P10RANK,P10CHAMPION,P10CHAMPIONID,P10SPELL1,P10SPELL2,P10SUMMONERLEVEL,WIN
NA1_4266198475,b'BelphegorS1oth',placehold,Akali,84,4,14,24,b'Fizzax',placehold,MasterYi,11,11,4,25,b'Sadrenity',placehold,Azir,268,4,14,146,b'HoneeyBree',placehold,MissFortune,21,4,7,12,b'ArnieAsada',placehold,Thresh,412,14,4,310,b'milkratz',placehold,Teemo,17,4,7,20,b'Yuur1',placehold,Lillia,876,4,11,19,b'AnbuRobin',placehold,Pyke,555,4,14,131,b'Far0ji',placehold,Jinx,222,4,7,315,b'SavTheSubarUwU',placehold,Seraphine,147,4,7,23,1
NA1_4264338941,b'BzzBQQQ',placehold,Kayle,10,6,4,155,b'DTC Hun',placehold,Diana,131,4,32,330,b'KMSTirpitz',placehold,Sion,14,4,32,242,b'PrettyQueXinYan',placehold,Samira,360,4,7,286,b'DK UZI',placehold,Qiyana,246,4,32,390,b'BLG Uziii',placehold,Vayne,67,4,7,425,b'MrLych',placehold,Shaco,35,3,14,201,b'rye0904',placehold,Darius,122,6,4,142,0
NA1_4266509749,b'PokebrandLoL',placehold,Poppy,78,4,12,267,b'Lee GrayLieu',placehold,Zed,238,4,11,235,b'TiG SickdudePW',placehold,Syndra,134,4,12,161,b'0 Malkior 0',placehold,Ashe,22,7,4,48,b'Built2TiltU',placehold,Swain,50,4,14,52,b'CurryManFTW',placehold,Sett,875,6,4,92,b'Pajama Lux Bot',placehold,Sejuani,113,11,4,139,b'Lvl 100 Gengar',placehold,Vex,711,12,4,288,b'kimch\xc3\xaa',placehold,Jinx,222,4,7,128,b'AvileSurprise2',placehold,Morgana,25,14,4,42,1
NA1_4242440159,b'Jaksta',placehold,Urgot,6,4,12,421,b'sparda1345',placehold,Shaco,35,11,14,165,b'Fire SOL',placehold,AurelionSol,136,6,14,393,b'Harukon',placehold,Sivir,15,3,4,66,b'Kuutliel',placehold,Nautilus,111,14,4,288,b'eMAg1NAry',placehold,Chogath,31,4,12,268,b'The Infam0u5',placehold,Lillia,876,11,4,68,b'Tygs',placehold,Yasuo,157,14,4,293,b'2Riptide2',placehold,Jhin,202,7,4,299,b'savageatknightt',placehold,Galio,3,14,4,61,1
NA1_4266592547,b'LoLSsipbunhal',placehold,Sion,14,12,4,346,b'LinguinePenguini',placehold,Elise,60,4,11,341,b'SuperSaiyanSATAN',placehold,Orianna,61,1,4,57,b'Bomboobie',placehold,Jinx,222,4,7,221,b'Neriah',placehold,Soraka,16,4,3,347,b'fembard',placehold,Aphelios,523,4,12,61,b'IncarnateAI',placehold,Viego,234,11,4,398,b'WildChocobo',placehold,Ahri,103,4,14,593,b'Ichigodayo',placehold,Jhin,202,7,4,469,b'Asakura Yukai',placehold,Senna,235,4,14,285,1
NA1_4260721408,b'Capitan Spore',placehold,Pantheon,80,12,4,361,b'blackishdevil',placehold,Ekko,245,4,11,395,b'Mataio',placehold,Lux,99,4,21,452,b'Celestial Sphere',placehold,Zeri,221,1,4,534,b'Batman88MX',placehold,Morgana,25,4,14,237,b'lsp QwQ',placehold,RekSai,421,14,4,310,b'Cup\xc3\xa7ake',placehold,Kayn,141,11,4,368,b'Huskie miss',placehold,Orianna,61,4,14,211,b'Ace8384',placehold,Jinx,222,7,4,133,b'Newo0',placehold,Soraka,16,4,21,57,1
NA1_4263015347,b'bubbIes',placehold,Riven,92,14,4,198,b'Trooll',placehold,Rengar,107,11,4,188,b'Borabank',placehold,Malzahar,90,4,12,149,b'noxn',placehold,Zeri,221,7,4,297,b'Babyishboo',placehold,Renata,888,4,14,117,b'Vrenetix',placehold,Sion,14,4,12,285,b'EpLeviathan',placehold,Zed,238,11,4,414,b'Frorender',placehold,Yasuo,157,4,14,117,b'TEFFLONTO',placehold,Xayah,498,3,4,388,b'Brennuvargarson',placehold,Xerath,101,14,4,180,1
NA1_4261905339,b'Nezium',placehold,Sion,14,4,12,324,b'FiendAsad',placehold,Khazix,121,11,4,377,b'Fontanaguy',placehold,Veigar,45,12,4,407,b'Dr Hsn',placehold,Jhin,202,7,4,671,b'jeonyeobeen',placehold,Lux,99,4,14,154,b'jeffersonfofo',placehold,Shen,98,4,14,53,b'ExVeath',placehold,Ekko,245,4,11,124,b'IronicLegends',placehold,Tristana,18,4,14,94,b'Zero McLovin',placehold,Ezreal,81,4,7,305,b'Kh\xc3\xa4rma',placehold,Bard,432,14,4,327,0
NA1_4265018865,b'yeethedino',placehold,Sion,14,4,12,163,b'SecretlyGayPengu',placehold,Ekko,245,4,11,277,b'Rurfu',placehold,Yasuo,157,4,14,266,b'newtsponge',placehold,Kaisa,145,4,7,210,b'Alumyn',placehold,Zyra,143,4,14,588,b'MGSQJ198',placehold,Samira,360,7,4,297,b'plas flam',placehold,LeeSin,64,11,4,660,b'APRP',placehold,Irelia,39,12,4,206,b'ExeES',placehold,Akali,84,14,4,153,b'WillMega',placehold,Rakan,497,4,14,141,1
NA1_4266540024,b'English MY Life',placehold,Graves,104,4,14,443,b'C0NCRETE JUNGLER',placehold,Diana,131,11,4,103,b'l l l TKO l l l',placehold,Qiyana,246,14,4,111,b'ShortStainer',placehold,MissFortune,21,4,7,134,b'YouHeardOfBofa',placehold,Xerath,101,3,4,145,b'Atinlaigpa',placehold,Gangplank,41,4,12,393,b'Obvy',placehold,Shaco,35,14,11,328,b'Sweet Victory',placehold,Ahri,103,14,4,431,b'cleveruser',placehold,Jinx,222,7,4,412,b'nami used splash',placehold,Lux,99,4,14,355,1
NA1_4266470799,b'MisterAustin',placehold,Lux,99,3,4,357,b'Alolan Marowak',placehold,Jinx,222,4,7,508,b'Vistrivious',placehold,Quinn,133,4,6,431,b'trashteamyll',placehold,Zac,154,32,4,102,b'Corazon18',placehold,Zed,238,14,4,193,b'Deadeye999',placehold,Jhin,202,4,3,345,b'EpicDivinity',placehold,Kennen,85,32,4,217,b'firemaker73',placehold,Jayce,126,4,32,335,b'SevenDe\xc3\xa0dLeeSins',placehold,Zyra,143,32,4,448,b'ThreeDunksGrace',placehold,Vladimir,8,4,32,393,0
NA1_4229231140,b'Merebenda',placehold,Yone,777,4,12,74,b'Lappie',placehold,Vi,254,11,4,117,b'SuperSweetBro',placehold,Annie,1,14,4,134,b'Ruileon',placehold,Senna,235,4,7,75,b'Jay Tone',placehold,Renata,888,14,4,191,b'CTWOFTHELEAF',placehold,Ornn,516,12,4,437,b'sdfdsfsa',placehold,Shyvana,102,14,11,264,b'IcePlex',placehold,Akshan,166,14,4,206,b'glizzygoober',placehold,Jhin,202,4,7,283,b'Aikra',placehold,Soraka,16,21,4,268,1
NA1_4266140938,b'CosmicPotato17',placehold,Talon,91,4,7,124,b'Popscicle',placehold,Katarina,55,14,4,51,b'Dooffy',placehold,Azir,268,32,4,381,b'Lukec3',placehold,Ezreal,81,14,7,58,b'HeWhoDividedBy 0',placehold,Darius,122,4,7,105,b'The Baron Pit',placehold,Ahri,103,4,32,430,b'Syckogamer',placehold,Twitch,29,4,13,66,b'Would League',placehold,Maokai,57,4,13,234,b'SgtAkke',placehold,Karma,43,13,7,224,b'ComsicGhostRider',placehold,Ryze,13,14,4,254,0
NA1_4266051941,b'Mr Harmony',placehold,Shaco,35,14,4,244,b'BlacKEMY',placehold,Hecarim,120,6,4,172,b'JianFing',placehold,Yone,777,32,4,256,b'jqcago',placehold,Jhin,202,4,1,46,b'TheBath',placehold,Kindred,203,1,4,182,b'JImMoo',placehold,Varus,110,32,4,281,b'Skidd The Kidd',placehold,Vex,711,4,3,242,b'DanceSC',placehold,Leblanc,7,14,4,115,b'LunaMysteria',placehold,Velkoz,161,7,4,113,b'WelcomeRaccoon',placehold,Ezreal,81,4,13,59,1
NA1_4266216891,b'kevinschmidt',placehold,Tryndamere,23,4,6,372,b'Strategyst0',placehold,XinZhao,5,11,4,193,b'Gumayuso',placehold,Akali,84,14,4,182,b'Forlon',placehold,Kaisa,145,7,4,151,b'Axull',placehold,Thresh,412,14,4,212,b'LVL 99 WEEB',placehold,Malphite,54,4,12,316,b'I Call Ekko',placehold,Taliyah,163,11,4,276,b'OrangeTacTics',placehold,Ryze,13,4,12,336,b'Juk3d Was Taken',placehold,Zeri,221,4,7,202,b'CIrlycue',placehold,Nautilus,111,14,4,338,1
NA1_4266312808,b'aure529',placehold,Sion,14,12,4,491,b'Edward Gaming JJ',placehold,Graves,104,4,11,133,b'Twitch YortiNA',placehold,Sylas,517,14,4,55,b'iCubie',placehold,Ezreal,81,7,4,124,b'LIVE M\xc3\x80S',placehold,Sona,37,3,4,285,b'Rchor',placehold,Aatrox,266,14,4,67,b'WATCH INVADE ',placehold,MasterYi,11,4,11,482,b'GenericAnimeBoy',placehold,Veigar,45,4,12,445,b'Joaquin',placehold,Jinx,222,4,7,402,b'Im The Revenant',placehold,Nami,267,14,4,250,1
NA1_4263356620,b'aqvmyz',placehold,Jax,24,4,12,38,b'PunaniBoi',placehold,Volibear,106,11,4,458,b'THE BOOOYYY',placehold,Ahri,103,4,14,43,b'Bandzz',placehold,Aphelios,523,7,4,498,b'YamiDesuuu',placehold,Soraka,16,4,3,266,b'The Mental Diff',placehold,Garen,86,14,4,103,b'Lokenox',placehold,Kayn,141,11,4,117,b'GetFaded',placehold,Yone,777,14,4,333,b'CR OoO',placehold,Xayah,498,4,3,510,b'Bumkey',placehold,Blitzcrank,53,14,4,487,1
